Name,SiteID,Metric,1,2,3,4,5,6,7,8,9,10,11,12
University Drive Carwash,16A,Labor,0,0,0,0,5838.48,7565.4,9705.42,9807.48,11325.096,11869.0812,11144.1689,11958.6346
Ventura Ave Carwash,05C,Sales,26251.22,55052.159,64308.4223,75415.9383,75005.3221,73297.9011,80972.0162,73031.1166,73716.8688,66205.1443,66073.376,69064.6105
Ventura Ave Carwash,05C,Cars,8651,8195,9587,11257,11192,10933,12083,10887,10987,9855,9833,10281
Ventura Ave Carwash,05C,Labor,12595.48,9909.3886,11575.516,13574.8689,13500.958,13193.6222,14574.9629,13145.6009,13269.0364,11916.9259,11893.2077,12431.6299
Villa Ave Carwash,06C,Sales,26164.15,60380.025,61599.8778,62598.4863,65134.5251,67750.8957,70432.395,73104.3829,75763.1308,75981.2211,78646.589,63559.7647
Villa Ave Carwash,06C,Cars,7806,9446,9635,9791,10176,10573,10980,11386,11789,11808,12212,9825
Villa Ave Carwash,06C,Labor,14617.92,10868.4045,11087.978,11267.7275,11724.2145,12195.1612,12677.8311,13158.7889,13637.3635,13676.6198,14156.386,11440.7577
Warner Road Carwash,10A,Sales,39942,45899.1865,52801.5319,54331.5518,55682.5886,63171.4774,72050.6124,57236.44,63333.2083,64926.5799,63537.315,65429.0335
Warner Road Carwash,10A,Cars,4297,9251,9453,9654,9856,10058,10737,10632,10192,10131,10314,11235
Warner Road Carwash,10A,Labor,23091.26,9179.8373,10560.3064,10866.3104,11136.5177,12634.2955,14410.1225,11447.288,12666.6417,12985.316,12707.4629,13085.8067
